Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (INR),Purchase Date,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
8001,63,Female,Sneakers,Footwear,8798,2025-05-05 00:59:35,Mumbai,,White,Spring,4.5,No,Standard,No,,9,Credit Card,Monthly
8002,20,Female,T-Shirt,Clothing,7055,2024-07-08 17:14:19,Delhi,M,Black,Fall,2.9,No,Standard,Yes,Yes,13,Debit Card,Monthly
8003,46,Male,Jeans,Clothing,3071,2024-04-28 04:47:12,Mumbai,M,Red,Spring,3.4,Yes,Free Shipping,No,No,9,Debit Card,Weekly
8004,52,Female,Backpack,Accessories,17596,2024-10-27 15:01:27,Bengaluru,,Gray,Summer,4.2,No,Standard,Yes,Yes,14,PayPal,Monthly
8005,56,Male,Boots,Footwear,3652,2024-04-04 22:06:55,Hyderabad,,Green,Winter,4.6,Yes,Next Day Air,No,Yes,15,Apple Pay,Monthly
8006,35,Male,Jeans,Clothing,8549,2024-12-02 01:03:34,Chennai,S,Blue,Summer,4.4,Yes,Standard,Yes,No,9,Credit Card,Bi-Weekly
8007,37,Female,Sneakers,Footwear,12865,2025-01-09 18:58:51,Delhi,,Red,Summer,4.3,No,Standard,No,No,10,Credit Card,Monthly
8008,60,Male,Jeans,Clothing,1743,2024-05-18 13:42:00,Pune,S,Brown,Spring,3.9,Yes,Standard,Yes,No,11,Credit Card,Monthly
8009,40,Female,Jeans,Clothing,7055,2025-07-27 18:16:58,Bengaluru,M,Blue,Fall,3.4,Yes,Next Day Air,Yes,Yes,13,Apple Pay,Monthly
8010,51,Male,Boots,Footwear,4814,2024-04-15 00:56:43,Hyderabad,,Blue,Fall,5.0,Yes,Next Day Air,No,Yes,16,Debit Card,Annually
8011,50,Female,Boots,Footwear,13778,2025-06-18 08:05:41,Chennai,,White,Spring,3.8,No,Express,No,Yes,12,PayPal,Weekly
8012,67,Female,Jeans,Clothing,5810,2025-12-19 20:22:45,Hyderabad,S,Blue,Winter,4.0,No,Standard,Yes,Yes,12,Debit Card,Monthly
8013,65,Male,Boots,Footwear,15355,2024-03-25 23:48:56,Bengaluru,,Gray,Winter,3.2,No,,No,Yes,6,Credit Card,Quarterly
8014,27,Female,Watch,Accessories,3403,2025-07-07 18:05:24,Kolkata,,Black,Fall,3.1,Yes,Express,Yes,Yes,8,Debit Card,Weekly
8015,50,Male,Smartphone,Electronics,86237,2025-07-18 23:55:53,Bengaluru,,Brown,Summer,,No,Express,No,No,5,PayPal,Weekly
8016,64,Male,Watch,Accessories,5810,2024-01-03 07:24:36,Bengaluru,,Brown,Winter,3.5,Yes,Next Day Air,Yes,Yes,7,Credit Card,Annually
8017,50,Male,Jeans,Clothing,8217,2024-05-27 11:10:32,Delhi,M,White,Fall,3.5,No,Express,Yes,Yes,7,Credit Card,Monthly
8018,65,Male,Watch,Accessories,24817,2024-05-23 22:54:45,Mumbai,,Brown,Winter,3.5,No,Standard,No,No,8,Debit Card,Monthly
8019,43,Female,Jacket,Clothing,1743,2025-08-16 01:11:17,Bengaluru,L,White,Winter,3.9,Yes,Standard,Yes,No,13,Credit Card,Weekly
8020,37,Female,Backpack,Accessories,10624,2024-01-13 18:37:38,Pune,,Black,Summer,4.1,No,Express,No,No,5,Debit Card,Annually
8021,32,Female,Smartphone,Electronics,66317,2024-10-29 00:23:35,Hyderabad,,Gray,Fall,2.7,No,Standard,No,No,11,Credit Card,Bi-Weekly
8022,54,Female,Smartphone,Electronics,51294,2025-06-09 11:08:23,Chennai,,Brown,Winter,4.6,Yes,Standard,No,No,6,Debit Card,Quarterly
8023,50,Female,T-Shirt,Clothing,12035,2024-06-09 20:16:11,Jaipur,M,Red,Spring,3.9,No,Next Day Air,Yes,No,11,Cash,Annually
8024,34,Male,Laptop,Electronics,63661,2025-03-20 23:27:49,Bengaluru,,White,Spring,3.6,No,Standard,No,No,11,Credit Card,Weekly
8025,22,Female,Sneakers,Footwear,11454,2024-07-08 08:05:49,Mumbai,,White,Spring,3.4,Yes,Standard,Yes,No,11,Apple Pay,Annually
8026,67,Female,Jeans,Clothing,6972,2024-07-01 07:09:13,Delhi,S,Red,Fall,4.4,No,Standard,No,Yes,13,Credit Card,Monthly
8027,21,Female,Sneakers,Footwear,7221,2025-09-01 00:45:58,Kolkata,,White,Summer,5.0,No,Standard,No,Yes,9,Credit Card,Annually
8028,20,Male,Headphones,Electronics,68060,2024-09-05 06:22:09,Mumbai,,Gray,Spring,4.3,No,Standard,Yes,No,11,Credit Card,Bi-Weekly
8029,38,Female,Laptop,Electronics,70301,2025-05-17 15:27:01,Jaipur,,White,Fall,3.4,No,Free Shipping,Yes,No,8,Debit Card,Annually
8030,57,Male,Sneakers,Footwear,5395,2024-03-12 08:31:05,Bengaluru,,Green,Winter,3.1,No,Standard,No,No,12,Credit Card,Quarterly
8031,20,Female,Headphones,Electronics,122591,2025-10-10 23:13:42,Jaipur,,Black,Summer,3.8,No,Standard,Yes,No,6,Apple Pay,Bi-Weekly
8032,38,Male,Jacket,Clothing,11537,2024-12-23 10:42:32,Chennai,XL,Red,Spring,3.3,No,Next Day Air,No,No,9,PayPal,Quarterly
8033,65,Male,Watch,Accessories,4648,2024-12-16 15:08:26,Bengaluru,,Black,Fall,4.8,No,Standard,No,No,15,PayPal,Annually
8034,66,Female,Laptop,Electronics,55444,2024-12-14 03:43:37,Chennai,,Gray,Summer,3.4,No,Next Day Air,No,Yes,12,PayPal,Weekly
8035,25,Female,Jacket,Clothing,4980,2025-06-26 00:07:23,Mumbai,XL,Black,Fall,3.9,No,Express,Yes,No,11,Debit Card,Annually
8036,59,Male,Watch,Accessories,3237,2025-05-16 14:50:36,Kolkata,,Red,Summer,4.9,Yes,Next Day Air,No,No,14,Credit Card,Monthly
8037,53,Female,Laptop,Electronics,36105,2024-10-18 08:22:30,Mumbai,,White,Winter,4.0,No,Express,No,No,12,PayPal,Quarterly
8038,46,Female,Boots,Footwear,12865,2024-05-30 14:16:23,Bengaluru,,Black,Winter,2.9,No,Next Day Air,No,No,13,Cash,Weekly
8039,56,Male,Jeans,Clothing,8134,2024-10-01 02:50:35,Mumbai,L,Brown,Winter,4.7,No,Express,No,Yes,4,Debit Card,Monthly
8040,51,Female,Sneakers,Footwear,9711,2025-06-14 01:24:43,Pune,,Green,Spring,3.1,No,Express,No,No,9,Debit Card,Weekly
8041,39,Female,Headphones,Electronics,121761,2025-06-13 03:04:11,Chennai,,Black,Winter,4.2,No,Express,No,No,14,Debit Card,Bi-Weekly
8042,48,Female,Boots,Footwear,12699,2025-04-26 06:08:54,Mumbai,,Blue,Spring,4.3,Yes,Express,Yes,No,9,Credit Card,Weekly
8043,45,Male,T-Shirt,Clothing,8964,2025-06-29 13:02:54,Mumbai,L,Brown,Winter,4.3,No,Next Day Air,Yes,Yes,13,Credit Card,Weekly
8044,52,Female,Laptop,Electronics,112050,2024-02-09 18:28:13,Hyderabad,,Gray,Spring,3.4,No,Standard,Yes,No,6,Credit Card,Monthly
8045,51,Female,Jacket,Clothing,11952,2025-04-29 23:06:17,Chennai,XL,Brown,Winter,4.2,No,Standard,Yes,No,10,Debit Card,Monthly
8046,30,Female,Watch,Accessories,11371,2024-01-15 22:44:50,Kolkata,,Brown,Winter,,No,Standard,Yes,Yes,10,Credit Card,Quarterly
8047,58,Male,Boots,Footwear,16517,2024-05-28 06:44:14,Pune,,Green,Summer,3.7,No,Express,No,Yes,10,Debit Card,Monthly
8048,21,Female,Watch,Accessories,24568,2024-08-29 05:25:29,Kolkata,,Blue,Summer,4.5,No,Next Day Air,No,Yes,11,Credit Card,Monthly
8049,60,Female,Laptop,Electronics,42994,2025-12-12 10:16:56,Hyderabad,,Green,Fall,3.0,Yes,,Yes,No,8,Credit Card,Quarterly
8050,23,Female,Laptop,Electronics,94537,2025-08-11 07:01:34,Hyderabad,,Brown,Winter,4.1,No,Standard,No,No,8,Debit Card,Quarterly
8051,18,Male,Watch,Accessories,7802,2025-12-16 03:58:43,Mumbai,,Brown,Fall,2.3,Yes,Express,Yes,No,10,Cash,Monthly
8052,29,Female,Backpack,Accessories,20750,2025-03-17 15:55:23,Pune,,Red,Fall,3.2,No,,Yes,No,6,Google Pay,Monthly
8053,52,Female,T-Shirt,Clothing,1660,2025-08-08 01:03:05,Delhi,XL,Gray,Summer,4.4,Yes,Standard,No,Yes,6,PayPal,Bi-Weekly
8054,28,Female,Sneakers,Footwear,10375,2025-10-26 11:46:14,Hyderabad,,Blue,Winter,3.6,Yes,Next Day Air,Yes,No,8,Debit Card,Weekly
8055,40,Male,Sneakers,Footwear,3652,2025-09-17 08:12:13,Kolkata,,Red,Summer,5.0,Yes,Standard,No,No,6,Credit Card,Quarterly
8056,31,Male,Jeans,Clothing,1992,2025-01-28 01:55:41,Chennai,M,Brown,Summer,3.2,Yes,Next Day Air,No,No,9,Credit Card,Weekly
8057,36,Female,Jeans,Clothing,3403,2025-11-21 17:40:52,Pune,M,Blue,Summer,3.6,No,Express,No,No,8,Credit Card,Quarterly
8058,54,Female,Boots,Footwear,8964,2025-02-23 10:05:00,Bengaluru,,Gray,Fall,4.6,Yes,Free Shipping,No,No,8,Debit Card,Bi-Weekly
8059,33,Male,Boots,Footwear,13446,2025-06-28 14:09:36,Delhi,,Black,Fall,4.1,No,Next Day Air,No,Yes,5,Debit Card,Weekly
8060,61,Male,Laptop,Electronics,62333,2024-09-25 05:42:35,Mumbai,,Gray,Fall,3.6,No,,No,No,11,Debit Card,Bi-Weekly
8061,45,Female,Jeans,Clothing,5810,2024-07-14 07:25:00,Jaipur,L,Gray,Summer,4.6,No,Express,Yes,No,8,Credit Card,Annually
8062,62,Male,Jeans,Clothing,4648,2024-09-23 21:45:58,Chennai,S,Red,Spring,4.8,Yes,Standard,No,No,10,Credit Card,Weekly
8063,48,Female,Backpack,Accessories,13280,2025-04-12 21:07:50,Delhi,,Brown,Spring,4.4,No,Standard,Yes,No,5,Credit Card,Annually
8064,24,Male,Jacket,Clothing,3652,2024-12-12 17:14:44,Mumbai,XL,Brown,Fall,4.7,Yes,Standard,No,No,11,Credit Card,Bi-Weekly
8065,63,Female,T-Shirt,Clothing,5893,2025-11-23 02:42:47,Jaipur,XL,Brown,Summer,2.0,No,Express,No,Yes,11,Apple Pay,Quarterly
8066,69,Female,Boots,Footwear,6557,2024-04-30 16:06:29,Jaipur,,Gray,Winter,4.6,No,Standard,No,No,10,Credit Card,Monthly
8067,44,Female,Headphones,Electronics,76111,2025-01-14 20:12:00,Kolkata,,Red,Fall,4.3,Yes,Standard,No,No,16,Credit Card,Bi-Weekly
8068,34,Female,Jacket,Clothing,7719,2024-03-18 14:43:05,Chennai,L,Brown,Winter,3.4,No,Standard,No,No,6,Debit Card,Bi-Weekly
8069,24,Male,Backpack,Accessories,2988,2025-09-06 20:29:09,Bengaluru,,Blue,Fall,4.4,No,Express,Yes,,11,Google Pay,Quarterly
8070,32,Female,Jeans,Clothing,8715,2025-06-20 00:17:49,Pune,M,Green,Summer,5.0,No,Express,Yes,Yes,7,Apple Pay,Quarterly
