"customer_id","age","gender","item_purchased","category","purchase_amount","purchase_date","location","size","color","season","review_rating","subscription_status","shipping_type","discount_applied","promo_code_used","previous_purchases","payment_method","frequency_of_purchases","age_group","purchase_frequency_days"
"8001","63","Female","Sneakers","Footwear","8798","2025-05-05 00:59:35","Mumbai","Unknown","White","Spring","4.5","No","Standard","No","No Promo","9","Credit Card","Monthly","Senior","30"
"8002","20","Female","T-Shirt","Clothing","7055","2024-07-08 17:14:19","Delhi","M","Black","Fall","2.9","No","Standard","Yes","Yes","13","Debit Card","Monthly","Young Adult","30"
"8003","46","Male","Jeans","Clothing","3071","2024-04-28 04:47:12","Mumbai","M","Red","Spring","3.4","Yes","Free Shipping","No","No","9","Debit Card","Weekly","Middle-aged","7"
"8004","52","Female","Backpack","Accessories","17596","2024-10-27 15:01:27","Bengaluru","Unknown","Gray","Summer","4.2","No","Standard","Yes","Yes","14","PayPal","Monthly","Middle-aged","30"
"8005","56","Male","Boots","Footwear","3652","2024-04-04 22:06:55","Hyderabad","Unknown","Green","Winter","4.6","Yes","Next Day Air","No","Yes","15","Apple Pay","Monthly","Middle-aged","30"
"8006","35","Male","Jeans","Clothing","8549","2024-12-02 01:03:34","Chennai","S","Blue","Summer","4.4","Yes","Standard","Yes","No","9","Credit Card","Bi-Weekly","Adult","14"
"8007","37","Female","Sneakers","Footwear","12865","2025-01-09 18:58:51","Delhi","Unknown","Red","Summer","4.3","No","Standard","No","No","10","Credit Card","Monthly","Adult","30"
"8008","60","Male","Jeans","Clothing","1743","2024-05-18 13:42:00","Pune","S","Brown","Spring","3.9","Yes","Standard","Yes","No","11","Credit Card","Monthly","Senior","30"
"8009","40","Female","Jeans","Clothing","7055","2025-07-27 18:16:58","Bengaluru","M","Blue","Fall","3.4","Yes","Next Day Air","Yes","Yes","13","Apple Pay","Monthly","Adult","30"
"8010","51","Male","Boots","Footwear","4814","2024-04-15 00:56:43","Hyderabad","Unknown","Blue","Fall","5","Yes","Next Day Air","No","Yes","16","Debit Card","Annually","Middle-aged","365"
"8011","50","Female","Boots","Footwear","13778","2025-06-18 08:05:41","Chennai","Unknown","White","Spring","3.8","No","Express","No","Yes","12","PayPal","Weekly","Middle-aged","7"
"8012","67","Female","Jeans","Clothing","5810","2025-12-19 20:22:45","Hyderabad","S","Blue","Winter","4","No","Standard","Yes","Yes","12","Debit Card","Monthly","Senior","30"
"8013","65","Male","Boots","Footwear","15355","2024-03-25 23:48:56","Bengaluru","Unknown","Gray","Winter","3.2","No","Not Specified","No","Yes","6","Credit Card","Quarterly","Senior","90"
"8014","27","Female","Watch","Accessories","3403","2025-07-07 18:05:24","Kolkata","Unknown","Black","Fall","3.1","Yes","Express","Yes","Yes","8","Debit Card","Weekly","Young Adult","7"
"8015","50","Male","Smartphone","Electronics","86237","2025-07-18 23:55:53","Bengaluru","Unknown","Brown","Summer","4","No","Express","No","No","5","PayPal","Weekly","Middle-aged","7"
"8016","64","Male","Watch","Accessories","5810","2024-01-03 07:24:36","Bengaluru","Unknown","Brown","Winter","3.5","Yes","Next Day Air","Yes","Yes","7","Credit Card","Annually","Senior","365"
"8017","50","Male","Jeans","Clothing","8217","2024-05-27 11:10:32","Delhi","M","White","Fall","3.5","No","Express","Yes","Yes","7","Credit Card","Monthly","Middle-aged","30"
"8018","65","Male","Watch","Accessories","24817","2024-05-23 22:54:45","Mumbai","Unknown","Brown","Winter","3.5","No","Standard","No","No","8","Debit Card","Monthly","Senior","30"
"8019","43","Female","Jacket","Clothing","1743","2025-08-16 01:11:17","Bengaluru","L","White","Winter","3.9","Yes","Standard","Yes","No","13","Credit Card","Weekly","Adult","7"
"8020","37","Female","Backpack","Accessories","10624","2024-01-13 18:37:38","Pune","Unknown","Black","Summer","4.1","No","Express","No","No","5","Debit Card","Annually","Adult","365"
"8021","32","Female","Smartphone","Electronics","66317","2024-10-29 00:23:35","Hyderabad","Unknown","Gray","Fall","2.7","No","Standard","No","No","11","Credit Card","Bi-Weekly","Adult","14"
"8022","54","Female","Smartphone","Electronics","51294","2025-06-09 11:08:23","Chennai","Unknown","Brown","Winter","4.6","Yes","Standard","No","No","6","Debit Card","Quarterly","Middle-aged","90"
"8023","50","Female","T-Shirt","Clothing","12035","2024-06-09 20:16:11","Jaipur","M","Red","Spring","3.9","No","Next Day Air","Yes","No","11","Cash","Annually","Middle-aged","365"
"8024","34","Male","Laptop","Electronics","63661","2025-03-20 23:27:49","Bengaluru","Unknown","White","Spring","3.6","No","Standard","No","No","11","Credit Card","Weekly","Adult","7"
"8025","22","Female","Sneakers","Footwear","11454","2024-07-08 08:05:49","Mumbai","Unknown","White","Spring","3.4","Yes","Standard","Yes","No","11","Apple Pay","Annually","Young Adult","365"
"8026","67","Female","Jeans","Clothing","6972","2024-07-01 07:09:13","Delhi","S","Red","Fall","4.4","No","Standard","No","Yes","13","Credit Card","Monthly","Senior","30"
"8027","21","Female","Sneakers","Footwear","7221","2025-09-01 00:45:58","Kolkata","Unknown","White","Summer","5","No","Standard","No","Yes","9","Credit Card","Annually","Young Adult","365"
"8028","20","Male","Headphones","Electronics","68060","2024-09-05 06:22:09","Mumbai","Unknown","Gray","Spring","4.3","No","Standard","Yes","No","11","Credit Card","Bi-Weekly","Young Adult","14"
"8029","38","Female","Laptop","Electronics","70301","2025-05-17 15:27:01","Jaipur","Unknown","White","Fall","3.4","No","Free Shipping","Yes","No","8","Debit Card","Annually","Adult","365"
"8030","57","Male","Sneakers","Footwear","5395","2024-03-12 08:31:05","Bengaluru","Unknown","Green","Winter","3.1","No","Standard","No","No","12","Credit Card","Quarterly","Middle-aged","90"
"8031","20","Female","Headphones","Electronics","122591","2025-10-10 23:13:42","Jaipur","Unknown","Black","Summer","3.8","No","Standard","Yes","No","6","Apple Pay","Bi-Weekly","Young Adult","14"
"8032","38","Male","Jacket","Clothing","11537","2024-12-23 10:42:32","Chennai","XL","Red","Spring","3.3","No","Next Day Air","No","No","9","PayPal","Quarterly","Adult","90"
"8033","65","Male","Watch","Accessories","4648","2024-12-16 15:08:26","Bengaluru","Unknown","Black","Fall","4.8","No","Standard","No","No","15","PayPal","Annually","Senior","365"
